Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,6
2004-03,4
2004-04,5
2004-05,5
2004-06,6
2004-07,6
2004-08,6
2004-09,4
2004-10,10
2004-11,6
2004-12,6
2005-01,6
2005-02,8
2005-03,8
2005-04,8
2005-05,8
2005-06,7
2005-07,8
2005-08,8
2005-09,8
2005-10,12
2005-11,8
2005-12,9
2006-01,9
2006-02,11
2006-03,9
2006-04,12
2006-05,11
2006-06,12
2006-07,10
2006-08,13
2006-09,12
2006-10,15
2006-11,12
2006-12,12
2007-01,13
2007-02,16
2007-03,16
2007-04,15
2007-05,17
2007-06,17
2007-07,19
2007-08,17
2007-09,18
2007-10,23
2007-11,19
2007-12,19
2008-01,20
2008-02,25
2008-03,25
2008-04,22
2008-05,25
2008-06,23
2008-07,25
2008-08,25
2008-09,26
2008-10,31
2008-11,28
2008-12,27
2009-01,29
2009-02,37
2009-03,35
2009-04,36
2009-05,36
2009-06,35
2009-07,37
2009-08,37
2009-09,36
2009-10,45
2009-11,38
2009-12,35
2010-01,37
2010-02,46
2010-03,46
2010-04,45
2010-05,49
2010-06,48
2010-07,57
2010-08,62
2010-09,59
2010-10,63
2010-11,58
2010-12,55
2011-01,55
2011-02,72
2011-03,68
2011-04,73
2011-05,67
2011-06,68
2011-07,70
2011-08,78
2011-09,72
2011-10,85
2011-11,80
2011-12,78
2012-01,80
2012-02,96
2012-03,91
2012-04,93
2012-05,90
2012-06,88
2012-07,87
2012-08,85
2012-09,93
2012-10,100
2012-11,85
2012-12,83
2013-01,80
2013-02,99
2013-03,98
2013-04,88
2013-05,88
2013-06,82
2013-07,84
2013-08,85
2013-09,82
2013-10,97
2013-11,86
2013-12,84
2014-01,81
2014-02,96
2014-03,91
2014-04,87
2014-05,83
2014-06,75
2014-07,80
2014-08,81
2014-09,80
2014-10,93
2014-11,83
2014-12,74
2015-01,71
2015-02,83
2015-03,80
2015-04,77
2015-05,75
2015-06,71
2015-07,71
2015-08,71
2015-09,69
2015-10,81
2015-11,71
2015-12,68
2016-01,65
2016-02,75
2016-03,71
2016-04,65
2016-05,66
2016-06,62
2016-07,60
2016-08,58
2016-09,61
2016-10,67
2016-11,60
2016-12,57
2017-01,56
2017-02,71
2017-03,59
2017-04,60
2017-05,57
2017-06,54
2017-07,53
2017-08,52
2017-09,54
2017-10,59
2017-11,53
2017-12,51
2018-01,51
2018-02,58
2018-03,54
2018-04,49
2018-05,51
2018-06,47
2018-07,47
2018-08,47
2018-09,48
2018-10,52
2018-11,48
2018-12,49
2019-01,51
2019-02,54
2019-03,50
2019-04,49
2019-05,46
2019-06,44
2019-07,41
2019-08,43
2019-09,44
2019-10,55
2019-11,45
2019-12,43
2020-01,41
2020-02,51
2020-03,44
2020-04,55
2020-05,58
2020-06,51
2020-07,48
2020-08,46
2020-09,44
2020-10,49
2020-11,43
2020-12,42
2021-01,42
2021-02,52
2021-03,47
2021-04,47
